Pokale,Games,Wins,Goals,GoalsAgainst,WinSeries,LastGame_Date,Name,WinRate,Image,Elo
0,20,7,82,104,-2,23-11-13 16:31,Babette,35.0,media/image_Babette.png,863.6
0,18,8,74,93,-6,23-11-13 13:53,Billy,44.4,media/image_Billy.png,858.8
0,53,25,239,242,1,23-11-13 12:59,David,47.2,media/image_David.png,937.6
0,61,29,269,277,2,23-11-13 16:31,Dennis,47.5,media/image_Dennis.png,1010.1
0,17,13,93,60,2,23-11-09 16:49,Fabian,76.5,media/image_Fabian.png,1171.6
0,3,1,14,17,-1,23-11-07 17:46,Felix,33.3,media/dummy_player.png,963.4
0,25,17,130,95,2,23-11-14 13:39,Florian,68.0,media/image_Florian.png,1194.8
0,12,6,57,56,2,23-11-14 17:44,Gondinik,50.0,media/image_Gondinik.png,1035.6
0,56,28,255,256,-1,23-11-14 18:00,Jana,50.0,media/image_Jana.png,995.0
0,9,5,45,43,2,23-11-13 16:31,Jens,55.6,media/dummy_player.png,1049.8
0,17,7,73,91,-1,23-11-14 18:00,Johnnie,41.2,media/image_Johnnie.png,934.6
0,55,36,275,229,6,23-11-10 15:31,Justus,65.5,media/image_Justus.png,1189.2
0,40,17,174,203,2,23-11-14 17:44,Marco,42.5,media/image_Marco.png,966.2
0,58,30,266,265,1,23-11-14 18:00,Max,51.7,media/image_Max.png,1099.7
0,6,2,29,28,2,23-11-13 13:53,Oliver,33.3,media/image_Oliver.png,987.4
0,2,0,5,12,-2,23-11-02 16:13,Pascal,0.0,media/dummy_player.png,936.8
0,31,10,143,151,1,23-11-14 18:00,Sarah,32.3,media/image_Sarah.png,799.6
0,45,23,213,214,-4,23-11-13 13:45,Sebastian,51.1,media/image_Sebastian.png,978.5
